upc,product,size,product_label
3000004350,CAP'N CRUNCH CHRISTM,15 OZ,CAP'N CRUNCH CHRISTM | 15 OZ | 3000004350
3000006190,QUAKER PUFFED RICE,7 OZ,QUAKER PUFFED RICE | 7 OZ | 3000006190
1600062680,BERRY BERRY KIX,12.7 O,BERRY BERRY KIX | 12.7 O | 1600062680
3800010401,KELLOGGS NUTRI GRAIN,12.2 O,KELLOGGS NUTRI GRAIN | 12.2 O | 3800010401
3800012100,KELL COMMONSENSE,14.8 O,KELL COMMONSENSE | 14.8 O | 3800012100
1600064670,GM PEANUT BUTTER PUF,14.25,GM PEANUT BUTTER PUF | 14.25 | 1600064670
3800014910,KEL POP TART BS/CINN,11.1 O,KEL POP TART BS/CINN | 11.1 O | 3800014910
3800016820,KLLG HNY CRUNCH CORN,15.1 O,KLLG HNY CRUNCH CORN | 15.1 O | 3800016820
3800019010,KELLOGG COCOA FRSTD,16.1 O,KELLOGG COCOA FRSTD | 16.1 O | 3800019010
3800054268,KELLOGG JUMBO ASSORT,25 CT,KELLOGG JUMBO ASSORT | 25 CT | 3800054268
3800090530,KELLOGGS RICE KRISPI,13.5OZ,KELLOGGS RICE KRISPI | 13.5OZ | 3800090530
1600065990,GM RAISIN NUT BRAN,20 OZ,GM RAISIN NUT BRAN | 20 OZ | 1600065990
1862702349,HONEY PUFFED KASHI,11.25O,HONEY PUFFED KASHI | 11.25O | 1862702349
3000002360,QUAKER OATS PLUS FIB,19 OZ,QUAKER OATS PLUS FIB | 19 OZ | 3000002360
3800002920,KELLOGGS APPLE JACKS,15 OZ,KELLOGGS APPLE JACKS | 15 OZ | 3800002920
1600066740,CHEERIOS CRAYOLA TRA,8.75 O,CHEERIOS CRAYOLA TRA | 8.75 O | 1600066740
4300011817,POST ALPHA BITS,15 OZ,POST ALPHA BITS | 15 OZ | 4300011817
3800001111,KELLOGGS COCOA KRISP,15 OZ,KELLOGGS COCOA KRISP | 15 OZ | 3800001111
3828125005,DOM OAT HON RAISIN,16 OZ,DOM OAT HON RAISIN | 16 OZ | 3828125005
1313001854,NAB SHRED WHT W/OAT,18 OZ,NAB SHRED WHT W/OAT | 18 OZ | 1313001854
1780016502,NINTENDO CEREAL,13 OZ,NINTENDO CEREAL | 13 OZ | 1780016502
1780018270,RALSTON RICE CHEX,12 OZ,RALSTON RICE CHEX | 12 OZ | 1780018270
1780018982,COOKIE CRISP CHOCOLA,11 OZ,COOKIE CRISP CHOCOLA | 11 OZ | 1780018982
3800013610,KELLOGG FROSTED BRAN,18.9 O,KELLOGG FROSTED BRAN | 18.9 O | 3800013610
3800013930,KEL RICE KRISPIES TR,20 OZ,KEL RICE KRISPIES TR | 20 OZ | 3800013930
1600068450,CRISPY WHEATS & RAIS,18 OZ,CRISPY WHEATS & RAIS | 18 OZ | 1600068450
1600068560,FRANKENBERRY CEREAL,12 OZ,FRANKENBERRY CEREAL | 12 OZ | 1600068560
3800004920,KELL FROST MINI WHTS,24 OZ,KELL FROST MINI WHTS | 24 OZ | 3800004920
4300011230,HONEY BUNCHES OATS R,16 OZ,HONEY BUNCHES OATS R | 16 OZ | 4300011230
4300011250,POST OAK FLAKES BONU,15 OZ,POST OAK FLAKES BONU | 15 OZ | 4300011250
1313002401,TEDDY GRAHAMS BRKFST,15 OZ,TEDDY GRAHAMS BRKFST | 15 OZ | 1313002401
1600062380,G. MILLS TRIPLES,18.75O,G. MILLS TRIPLES | 18.75O | 1600062380
1600063100,~RIPPLE CRISP HONEY-,15 OZ,~RIPPLE CRISP HONEY- | 15 OZ | 1600063100
3800012700,KEL OATBAKE HONEY BR,14.7OZ,KEL OATBAKE HONEY BR | 14.7OZ | 3800012700
79166918102,RALSTON RICE CHEX,12 OZ,RALSTON RICE CHEX | 12 OZ | 79166918102
1600064730,~GM HIDDEN TREASURES,13.75O,~GM HIDDEN TREASURES | 13.75O | 1600064730
3680011885,W.C. X-RAISIN BRAN C,20 OZ,W.C. X-RAISIN BRAN C | 20 OZ | 3680011885
4300010446,POST FRT&FIBRE DATE/,15 OZ,POST FRT&FIBRE DATE/ | 15 OZ | 4300010446
1600065727,CINNAMON TOAST CRUNC,14 OZ,CINNAMON TOAST CRUNC | 14 OZ | 1600065727
3800004001,KELLOGGS ALL BRAN EX,11.4 O,KELLOGGS ALL BRAN EX | 11.4 O | 3800004001
3800004100,KELLOGGS JUST RT FRT,20 OZ,KELLOGGS JUST RT FRT | 20 OZ | 3800004100
1780019091,RALSTON BRAN CHEX,16 OZ,RALSTON BRAN CHEX | 16 OZ | 1780019091
1862702346,KASHI MEDLEY CEREAL,14 OZ,KASHI MEDLEY CEREAL | 14 OZ | 1862702346
1600068100,BIG G TRAIL SIZE PAL,1.0,BIG G TRAIL SIZE PAL | 1.0 | 1600068100
4300012950,POST COCOA PEBBLES,11 OZ,POST COCOA PEBBLES | 11 OZ | 4300012950
3000006570,QUAKER JUMBO OAT SQU,26 OZ,QUAKER JUMBO OAT SQU | 26 OZ | 3000006570
3000006700,QUAKER 100% CEREAL-O,32 OZ,QUAKER 100% CEREAL-O | 32 OZ | 3000006700
4300011760,POST SUGAR CRISP,18 OZ,POST SUGAR CRISP | 18 OZ | 4300011760
1780010320,MUESLI W/CRANBERRIES,3 OZ,MUESLI W/CRANBERRIES | 3 OZ | 1780010320
4300018160,POST FROSTED SHREDDE,19 OZ,POST FROSTED SHREDDE | 19 OZ | 4300018160
79166910537,~RASPBERRY ALMOND MU,13.5OZ,~RASPBERRY ALMOND MU | 13.5OZ | 79166910537
79166910605,~MUESLI STRAWBERRY P,13.5OZ,~MUESLI STRAWBERRY P | 13.5OZ | 79166910605
79166915516,RALSTON/WHEAT CHEX,16 OZ,RALSTON/WHEAT CHEX | 16 OZ | 79166915516
3000002810,QUAKER TINY TOON CER,9 OZ,QUAKER TINY TOON CER | 9 OZ | 3000002810
3000006080,QUAKER LIFE CINNAMON,23 OZ,QUAKER LIFE CINNAMON | 23 OZ | 3000006080
3000006110,QUAKER LIFE CEREAL,23 OZ,QUAKER LIFE CEREAL | 23 OZ | 3000006110
4300011240,HONEY BUNCHES OATS-A,16 OZ,HONEY BUNCHES OATS-A | 16 OZ | 4300011240
4300011470,POST NATURAL RAISIN,25 OZ,POST NATURAL RAISIN | 25 OZ | 4300011470
1600063110,~RIPPLE CRISP-GOLDEN,13.5OZ,~RIPPLE CRISP-GOLDEN | 13.5OZ | 1600063110
1600064300,FROSTED CHEERIOS,14.2 O,FROSTED CHEERIOS | 14.2 O | 1600064300
1600064310,FROSTED CHEERIOS,20.2 O,FROSTED CHEERIOS | 20.2 O | 1600064310
3000020123,MOTHER'S OAT BRAN HO,16 OZ,MOTHER'S OAT BRAN HO | 16 OZ | 3000020123
3800000127,KELLOGGS CORN FLAKE,24 OZ,KELLOGGS CORN FLAKE | 24 OZ | 3800000127
4300010510,POST GRAPE NUTS,16 OZ,POST GRAPE NUTS | 16 OZ | 4300010510
4300010521,POST GRAPE-NUTS CERE,24 OZ,POST GRAPE-NUTS CERE | 24 OZ | 4300010521
3800016500,~KEL TEMP HNY RSTD P,12.3 O,~KEL TEMP HNY RSTD P | 12.3 O | 3800016500
1600065980,RAISIN NUT BRAN,15 OZ,RAISIN NUT BRAN | 15 OZ | 1600065980
3828125049,DOM CORN FLAKES,18 OZ,DOM CORN FLAKES | 18 OZ | 3828125049
3800000900,KELLOGGS APPLE CINNA,16.5OZ,KELLOGGS APPLE CINNA | 16.5OZ | 3800000900
4300012965,COCOA PEBBLES ON BOX,17 OZ,COCOA PEBBLES ON BOX | 17 OZ | 4300012965
1600066970,OATMEAL CRISP W/RAIS,15 OZ,OATMEAL CRISP W/RAIS | 15 OZ | 1600066970
3000006720,QUAKER 100% CEREAL H,32 OZ,QUAKER 100% CEREAL H | 32 OZ | 3000006720
1600066310,KIX,9 OZ,KIX | 9 OZ | 1600066310
